gene,ligand,tf,pair,cell_type,mean,std,n
CD4,IL12A,FOXO3,IL12A#FOXO3,MNP,2.1269564e-10,7.425191e-12,335
CD4,PDGFA,FOXO4,PDGFA#FOXO4,MNP,-2.7810627e-08,1.10758513e-10,335
CD4,VEGFA,FOXO4,VEGFA#FOXO4,MNP,-4.7295444e-08,1.3602496e-10,335
CD4,BMP4,GATA2,BMP4#GATA2,MNP,3.7425614e-09,1.4303783e-10,335
CD4,IFNG,HDAC2,IFNG#HDAC2,MNP,-3.152947e-09,9.966838e-11,335
CD4,IL26,HDAC2,IL26#HDAC2,MNP,-9.217266e-10,5.911776e-11,335
CD4,EBI3,HDAC2,EBI3#HDAC2,MNP,2.948977e-08,2.0310305e-10,335
CD4,IL21,HDAC2,IL21#HDAC2,MNP,2.4199249e-08,2.1908321e-10,335
CD4,IL18,KLF16,IL18#KLF16,MNP,-4.5096247e-08,1.5794261e-09,335
CD4,IL22,KLF16,IL22#KLF16,MNP,-3.737437e-09,1.6180076e-11,335
CD4,BMP6,KLF5,BMP6#KLF5,MNP,5.3567883e-10,3.879741e-12,335
CD4,EBI3,MAX,EBI3#MAX,MNP,2.8776135e-09,1.5492179e-11,335
CD4,PDGFD,MEF2A,PDGFD#MEF2A,MNP,-3.291443e-08,3.9904474e-10,335
CD4,SHH,MEF2A,SHH#MEF2A,MNP,-1.6090203e-08,1.3463267e-10,335
CD4,IL26,MEF2A,IL26#MEF2A,MNP,6.04233e-10,3.0648956e-12,335
CD4,VEGFA,MEF2C,VEGFA#MEF2C,MNP,-1.0917637e-08,8.0096874e-11,335
CD4,ADM,NF1,ADM#NF1,MNP,-4.6684633e-08,7.0059575e-10,335
CD4,CSF1,NFATC1,CSF1#NFATC1,MNP,-3.2868222e-08,1.8957078e-10,335
CD4,ANGPTL4,NFATC2,ANGPTL4#NFATC2,MNP,1.5618333e-08,1.8340998e-10,335
CD4,IL18,NFATC4,IL18#NFATC4,MNP,-5.1401013e-08,4.74114e-10,335
CD4,TGFB1,NFATC4,TGFB1#NFATC4,MNP,3.8713637e-08,4.098181e-10,335
CD4,BMP2,REST,BMP2#REST,MNP,-4.7193743e-07,2.1464588e-09,335
CD4,BMP2,RXRA,BMP2#RXRA,MNP,-1.8796928e-07,5.0750724e-09,335
CD4,BMP6,RXRA,BMP6#RXRA,MNP,7.059622e-09,2.6911834e-11,335
CD4,CXCL12,RXRA,CXCL12#RXRA,MNP,-4.850543e-08,1.0008726e-09,335
CD4,IL18,SIN3A,IL18#SIN3A,MNP,-6.561022e-09,2.6524327e-10,335
CD4,CXCL12,SIN3A,CXCL12#SIN3A,MNP,-8.7845365e-08,6.8009753e-10,335
