gene,tf,cell_type,mean,std,n
CD4,NFATC4,Effector CD8 T cell,-3.292692e-05,0.0010127908,2432
CD4,NHLH2,Effector CD8 T cell,-0.072945505,0.010659113,2432
CD4,POU2F2,Effector CD8 T cell,0.08729356,0.031169211,2432
CD4,PTEN,Effector CD8 T cell,0.35861754,0.046674173,2432
CD4,REST,Effector CD8 T cell,-0.3622361,0.025576742,2432
CD4,RXRA,Effector CD8 T cell,-0.03697763,0.02232086,2432
CD4,SIN3A,Effector CD8 T cell,-0.072293706,0.029511005,2432
CD4,SMC3,Effector CD8 T cell,-0.012172808,0.016285243,2432
CD4,SP3,Effector CD8 T cell,-0.08200627,0.007876461,2432
CD4,SP9,Effector CD8 T cell,0.04712513,0.0062882337,2432
CD4,TAL1,Effector CD8 T cell,-0.110178836,0.019950116,2432
CD4,TBX2,Effector CD8 T cell,0.23391362,0.036758356,2432
CD4,TBX4,Effector CD8 T cell,-0.16035934,0.020645129,2432
CD4,TBX5,Effector CD8 T cell,0.16468506,0.009907999,2432
CD4,TFAP2A,Effector CD8 T cell,-0.026963238,0.028933631,2432
CD4,TFAP2B,Effector CD8 T cell,0.025409615,0.0015314051,2432
CD4,USF1,Effector CD8 T cell,-0.09289649,0.026218062,2432
CD4,VDR,Effector CD8 T cell,1.1752509,0.18376137,2432
CD4,WT1,Effector CD8 T cell,0.012360718,0.00044119722,2432
CD4,YY1,Effector CD8 T cell,0.012359056,0.008062453,2432
CD4,ZEB1,Effector CD8 T cell,0.89277166,0.13081382,2432
CD4,ZFX,Effector CD8 T cell,0.26181054,0.055832047,2432
CD4,ZIC4,Effector CD8 T cell,0.015101687,0.001962433,2432
CD4,ZNF281,Effector CD8 T cell,0.42282522,0.06308244,2432
CD4,ZNF341,Effector CD8 T cell,-1.2017593e-05,0.0008738946,2432
CD4,ATOH8,Proliferating CD8 T cell,-0.19106114,0.0007109442,19
CD4,BATF3,Proliferating CD8 T cell,-0.10695298,0.013694268,19
CD4,BCL3,Proliferating CD8 T cell,-0.13918284,0.0048166914,19
CD4,CTCF,Proliferating CD8 T cell,0.2970676,0.10163028,19
CD4,CTCFL,Proliferating CD8 T cell,-0.19184227,1.8698696e-05,19
CD4,E2F1,Proliferating CD8 T cell,-0.3610623,1.4797966e-05,19
CD4,E2F3,Proliferating CD8 T cell,-0.19440265,0.012145896,19
CD4,E2F4,Proliferating CD8 T cell,1.024578,0.033537544,19
CD4,EGR2,Proliferating CD8 T cell,-0.23273887,0.07051472,19
CD4,EGR3,Proliferating CD8 T cell,0.16009572,0.034875628,19
CD4,EGR4,Proliferating CD8 T cell,0.023792189,0.020201763,19
CD4,ELK1,Proliferating CD8 T cell,0.44151092,0.20484652,19
