,Cell Type 1,Cell Type 2,Gene 1,Gene 2,C_p,Z,Z_pval,Z_FDR,C_norm_p,C_np,pval_np,FDR_np,C_norm_np,selected
1493,CD8 T Cell,other,ABCB1,SLCO2B1,-193.69147,-0.6872987400208206,0.754052753667156,0.8526801635993501,-0.003841114697857363,21153.705,0.000999000999000999,0.0036387453605996652,0.9392938855468935,True
1497,CD8 T Cell,other,TAP1,TAP1,15563.259,55.22498386876727,0.0,0.0,0.4356233150913358,705412.8,0.000999000999000999,0.0036387453605996652,1.5150812648378933,True
1498,CD8 T Cell,other,ATP7A,TAP1,-927.1256,-3.2898313630798572,0.9994987627831545,1.0,-0.02121908644574556,43873.38,0.000999000999000999,0.0036387453605996652,2.260108426925735,True
1502,CD8 T Cell,other,AQP7,AQP7,2052.9612,7.284769191076234,1.6111073783775495e-13,1.1007565939225495e-12,0.04633380391264608,250.29272,0.000999000999000999,0.0036387453605996652,0.13440551156422337,True
1506,CD8 T Cell,other,AQP7,ATP7B,3991.9182,14.165003737344056,7.542944791104056e-46,7.542944791104056e-45,0.0900946191118837,24.162916,0.000999000999000999,0.0036387453605996652,0.012975323655897104,True
1518,CD8 T Cell,other,SLC24A4,SLC24A4,3464.9443,12.295078919641329,4.8131352028756347e-35,4.449116574086721e-34,0.07920466384183536,24.19829,0.000999000999000999,0.0036387453605996652,0.05194881808429601,True
1519,CD8 T Cell,other,CLCN4,CLCN4,381.1459,1.3524658758946355,0.0881131639986229,0.23843660614633502,0.009440403048591825,79.9804,0.003996003996003996,0.01292824822236587,0.04053249343600064,True
1520,CD8 T Cell,other,CLCN3,CLCN3,861.1726,3.055802386741788,0.0011222956970249659,0.0047481741027979325,0.019322489309870596,9623.225,0.000999000999000999,0.0036387453605996652,0.3052242679419907,True
1521,CD8 T Cell,other,CLCN3,CLCN5,1350.4662,4.792021669554529,8.255453234589517e-07,4.3869558251441886e-06,0.03030097361150458,4478.1426,0.000999000999000999,0.0036387453605996652,0.14203532034537372,True
1522,CD8 T Cell,other,CLCN3,CLCN4,-26.188084,-0.0929263283900897,0.5370189553936482,0.773508827038457,-0.0005875929656686782,884.4028,0.000999000999000999,0.0036387453605996652,0.02805101193213058,True
1523,CD8 T Cell,other,CLCN4,CLCN5,702.0888,2.4913061923415367,0.00636371914726159,0.024179934583722796,0.017389669486188936,341.23923,0.000999000999000999,0.0036387453605996652,0.17293332773604952,True
1524,CD8 T Cell,other,CLCN5,CLCN5,4419.9775,15.683938152245036,9.739665644960784e-56,1.050356098966359e-54,0.1063437781811594,2068.181,0.000999000999000999,0.0036387453605996652,0.22539154243722345,True
1526,CD8 T Cell,other,SLC9A3,SLC9A3,1006.28253,3.570713392090065,0.00017800514040083846,0.0008244448608038834,0.022250850860365694,17831.895,0.000999000999000999,0.0036387453605996652,4.39716122901945,True
