gene,tf,cell_type,mean,std,n
CD3E,SMAD4,Exhausted CD8,0.2563546,0.046334505,875
CD3E,STAT1,Exhausted CD8,-0.052717652,0.025104681,875
CD3E,STAT3,Exhausted CD8,0.089978255,0.098304056,875
CD3E,STAT5A,Exhausted CD8,-0.1400388,0.1547443,875
CD3E,STAT5B,Exhausted CD8,0.5591919,0.08304386,875
CD3E,TCF7L2,Exhausted CD8,-1.720256,0.4990878,875
CD3E,THRA,Exhausted CD8,-0.050375436,0.1044181,875
CD3E,THRB,Exhausted CD8,-0.104576245,0.11264515,875
CD3E,ZBTB1,Exhausted CD8,1.6853483,0.31908217,875
CD3E,ARID3B,Treg,-0.5565194,0.5800528,8915
CD3E,BCL6,Treg,-0.5862096,0.1470274,8915
CD3E,BCL6B,Treg,-1.2732148,0.7814464,8915
CD3E,CTCF,Treg,0.6802867,0.15039474,8915
CD3E,EHF,Treg,1.9489306,0.6085558,8915
CD3E,ELK4,Treg,1.8305647,0.08793336,8915
CD3E,EP300,Treg,1.4160125,0.09311711,8915
CD3E,ESRRA,Treg,-2.3281906,1.035156,8915
CD3E,ETV5,Treg,-4.1150935e-05,0.010686138,8915
CD3E,FLI1,Treg,0.5035901,0.10698363,8915
CD3E,FOXA1,Treg,-0.34769958,0.15727033,8915
CD3E,FOXD2,Treg,-0.10060185,0.027725978,8915
CD3E,FOXI1,Treg,0.033912774,0.013773532,8915
CD3E,FOXJ2,Treg,1.3934156,0.10884788,8915
CD3E,FOXL2,Treg,-0.0800432,0.1430858,8915
CD3E,FOXO1,Treg,0.8466803,0.35505742,8915
CD3E,FOXO3,Treg,-0.62618625,0.08257361,8915
CD3E,FOXO4,Treg,-1.1195968,0.8511243,8915
CD3E,GATA1,Treg,0.44108203,0.026940737,8915
CD3E,GATA2,Treg,-0.48174736,0.5318169,8915
CD3E,GATA3,Treg,0.8089635,0.26378873,8915
CD3E,HOXA5,Treg,-1.9936641,0.13149005,8915
CD3E,HOXB4,Treg,-1.3018447,0.5441393,8915
CD3E,HOXB6,Treg,-1.2020032,0.31010282,8915
CD3E,HOXB7,Treg,0.30524275,0.040832832,8915
CD3E,HOXB9,Treg,1.1215091,0.13381721,8915
CD3E,IRX1,Treg,0.06264048,0.027271552,8915
CD3E,MECOM,Treg,-1.9592401,0.11582529,8915
CD3E,MEF2A,Treg,-0.97329694,0.14533453,8915
CD3E,MYEF2,Treg,0.01704212,0.020093394,8915
CD3E,NR3C1,Treg,0.7222595,0.29868385,8915
CD3E,PDX1,Treg,-0.0896628,0.0035539572,8915
CD3E,PITX1,Treg,-0.2564453,0.026588019,8915
CD3E,POU1F1,Treg,-0.58586705,0.0905432,8915
CD3E,POU2F1,Treg,-0.41465893,0.36790574,8915
CD3E,PPARGC1A,Treg,0.5278275,0.31114733,8915
CD3E,RUNX1,Treg,0.009222216,0.025377145,8915
CD3E,SIN3A,Treg,-0.04777979,0.07341056,8915
CD3E,SMAD4,Treg,0.26273715,0.019494046,8915
CD3E,STAT1,Treg,-0.05861664,0.015392891,8915
CD3E,STAT3,Treg,0.085680775,0.09312065,8915
CD3E,STAT5A,Treg,-0.1449146,0.14297044,8915
CD3E,STAT5B,Treg,0.5697057,0.034439307,8915
CD3E,TCF7L2,Treg,-1.7238334,0.4811055,8915
CD3E,THRA,Treg,-0.032663427,0.08785445,8915
CD3E,THRB,Treg,-0.12572046,0.0690587,8915
CD3E,ZBTB1,Treg,1.7441622,0.16839772,8915
CD3E,ARID3B,other,-0.054072976,0.280229,231605
CD3E,BCL6,other,-0.078836456,0.22946809,231605
CD3E,BCL6B,other,-0.16082922,0.47015947,231605
CD3E,CTCF,other,0.13632469,0.22852834,231605
CD3E,EHF,other,0.18217729,0.6784752,231605
CD3E,ELK4,other,0.2981313,0.5476019,231605
CD3E,EP300,other,0.14281556,0.44902897,231605
CD3E,ESRRA,other,-0.27137014,0.83002603,231605
CD3E,ETV5,other,-0.005093392,0.10731761,231605
CD3E,FLI1,other,0.2799814,0.33612198,231605
CD3E,FOXA1,other,-0.02005035,0.16235124,231605
CD3E,FOXD2,other,-0.061567795,0.11337831,231605
CD3E,FOXI1,other,0.0012807918,0.05129253,231605
