gene,ligand,receptor,pair,cell_type,mean,std,n
CD3E,IL6,IL6R,IL6$IL6R,Gamma delta T cell,-1.4625068e-05,4.18537e-06,2417
CD3E,IL6,IL6ST,IL6$IL6ST,Gamma delta T cell,-9.615628e-05,1.995586e-05,2417
CD3E,IL11,IL6ST,IL11$IL6ST,Gamma delta T cell,-8.130043e-08,3.0305177e-08,2417
CD3E,CNTF,IL6ST,CNTF$IL6ST,Gamma delta T cell,1.4029516e-06,2.8913132e-07,2417
CD3E,IL1B,IL1R1,IL1B$IL1R1,Gamma delta T cell,-5.079879e-06,5.236704e-06,2417
CD3E,IL18,IL18R1,IL18$IL18R1,Gamma delta T cell,-1.5337552e-08,4.941832e-09,2417
CD3E,CSF1,CSF1R,CSF1$CSF1R,Gamma delta T cell,-7.508831e-05,2.0142184e-05,2417
CD3E,IL16,CD4,IL16$CD4,Gamma delta T cell,-0.0020227174,0.00028244004,2417
CD3E,IFNG,IFNGR1,IFNG$IFNGR1,Gamma delta T cell,2.1362283e-09,1.499014e-09,2417
CD3E,IFNG,IFNGR2,IFNG$IFNGR2,Gamma delta T cell,-7.4121914e-08,5.7531512e-08,2417
CD3E,LTA,TNFRSF1B,LTA$TNFRSF1B,Gamma delta T cell,-5.408634e-07,1.9582853e-07,2417
CD3E,TNFSF14,LTBR,TNFSF14$LTBR,Gamma delta T cell,-1.804631e-07,3.885189e-08,2417
CD3E,TNFSF14,TNFRSF14,TNFSF14$TNFRSF14,Gamma delta T cell,1.4437741e-07,3.5180886e-08,2417
CD3E,FASLG,FAS,FASLG$FAS,Gamma delta T cell,-6.081984e-08,4.7962377e-08,2417
CD3E,TNFSF10,TNFRSF10A,TNFSF10$TNFRSF10A,Gamma delta T cell,4.173697e-05,3.4319233e-05,2417
CD3E,TNFSF12,TNFRSF12A,TNFSF12$TNFRSF12A,Gamma delta T cell,-4.2591946e-06,1.0793726e-06,2417
CD3E,CD70,CD27,CD70$CD27,Gamma delta T cell,1.5002604e-05,1.0504511e-05,2417
CD3E,TNFSF9,TNFRSF9,TNFSF9$TNFRSF9,Gamma delta T cell,2.706294e-07,9.159211e-08,2417
CD3E,TNFSF13B,TNFRSF13C,TNFSF13B$TNFRSF13C,Gamma delta T cell,-2.2901982e-06,1.4470143e-06,2417
