gene,metabolite,cell_type,mean,std,n
CD3E,D-Galactose|D-Mannose,other,9.80329e-05,0.0002698014,103187
CD3E,Glucosamine,other,-9.973023e-08,9.2762866e-07,103187
CD3E,Docosahexaenoic acid|Dehydroascorbic acid,other,9.978696e-05,0.0002729808,103187
CD3E,D-Xylose|D-Maltose,other,6.184231e-05,0.00017504954,103187
CD3E,L-Glutamine,other,-0.00020916517,0.00061440916,103187
CD3E,L-Alanine|L-Asparagine|L-Threonine,other,-3.5350126e-06,1.04272785e-05,103187
CD3E,L-Cysteine,other,-2.3498562e-05,6.837796e-05,103187
CD3E,L-Histidine|L-Tyrosine,other,9.290709e-06,2.6120008e-05,103187
CD3E,L-Serine,other,-9.199142e-06,3.0597606e-05,103187
CD3E,L-Methionine|L-Phenylalanine,other,-7.486245e-06,2.2368693e-05,103187
CD3E,L-Lactate,other,-3.7885446e-05,0.0001091,103187
CD3E,Pyruvate|Ketone bodies|Butyrate|D-Lactate|alpha-Ketoisovaleric acid,other,-2.0682617e-06,6.33089e-06,103187
CD3E,Nicotinate,other,-0.00024585673,0.0006743987,103187
CD3E,L-Glutamate,other,-8.766269e-05,0.00026063118,103187
CD3E,L-Aspartate|D-Aspartate,other,2.4640055e-08,7.0603285e-08,103187
CD3E,L-Cystine,other,-4.1721177e-07,1.3402146e-06,103187
CD3E,Zinc,other,-3.0467692e-07,8.6836286e-07,103187
CD3E,Iron,other,-0.00038883497,0.0011020062,103187
CD3E,Cadmium,other,-2.1995623e-07,6.976191e-07,103187
CD3E,Manganese,other,-9.637181e-07,2.7880824e-06,103187
CD3E,L-Carnitine,other,-1.4057848e-09,4.802719e-09,103187
CD3E,Sodium,other,-0.00010618081,0.0003145707,103187
CD3E,Acetate,other,-0.00040480754,0.0011273113,103187
CD3E,L-Leucine,other,-4.2465068e-05,0.00014026524,103187
CD3E,L-Arginine,other,8.298315e-06,2.3999582e-05,103187
CD3E,Fatty acid,other,-0.00016540452,0.00043684608,103187
CD3E,25-Hydroxycholesterol,other,-9.4287534e-05,0.00026217083,103187
CD3E,Cholesterol,other,-7.622076e-07,8.977922e-06,103187
CD3E,Phosphate,other,6.08628e-08,2.254586e-07,103187
CD3E,Ethanol,other,-7.420399e-05,0.00020800992,103187
CD3E,Folic acid,other,-4.512773e-06,1.5372749e-05,103187
CD3E,Heme,other,-0.00010255848,0.0002870295,103187
CD3E,Citric acid|Oxalic acid,other,-0.00013130932,0.0003518317,103187
CD3E,Malic acid,other,2.3506805e-08,6.7360155e-08,103187
CD3E,L-Valine|L-Isoleucine,other,-5.99627e-09,2.048874e-08,103187
CD3E,Adenosine|Uridine|Inosine|Cytidine|Guanosine,other,-6.7437155e-05,0.00018972086,103187
CD3E,Thymidine,other,-6.864204e-05,0.00019325958,103187
CD3E,Vitamin D3,other,-3.2591533e-06,6.6883063e-06,103187
CD3E,Urea,other,-4.365323e-08,2.5799778e-07,103187
CD3E,Adenosine diphosphate ribose,other,1.1642649e-06,2.49042e-06,103187
CD3E,Chloride ion,other,2.4212868e-08,8.0332626e-08,103187
CD3E,alpha-Tocopherol,other,-2.0136802e-06,5.875825e-06,103187
CD3E,Taurocholic acid,other,-0.00028015394,0.0007812219,103187
CD3E,Bilirubin,other,6.415626e-09,1.983808e-08,103187
CD3E,Glutathione,other,-3.3810402e-06,9.926916e-06,103187
