gene,tf,cell_type,mean,std,n
CD4,FOXO3,Effector CD8 T cell,-0.7637516,0.19667926,4715
CD4,FOXO4,Effector CD8 T cell,0.32548743,0.24287552,4715
CD4,GATA1,Effector CD8 T cell,-0.004070462,0.0020099757,4715
CD4,GATA2,Effector CD8 T cell,-0.17025343,0.10838682,4715
CD4,HDAC2,Effector CD8 T cell,0.18777701,0.06362335,4715
CD4,HNF4A,Effector CD8 T cell,-0.16061756,0.010611937,4715
CD4,HOXA9,Effector CD8 T cell,-0.030116627,0.03465758,4715
CD4,KLF14,Effector CD8 T cell,-0.06969534,0.027374389,4715
CD4,KLF16,Effector CD8 T cell,0.7724043,0.5381792,4715
CD4,KLF5,Effector CD8 T cell,-0.61519843,0.34543276,4715
CD4,LMO2,Effector CD8 T cell,3.438856,1.3137778,4715
CD4,MAX,Effector CD8 T cell,0.9395752,0.11377457,4715
CD4,MEF2A,Effector CD8 T cell,0.8227964,0.23547255,4715
CD4,MEF2C,Effector CD8 T cell,1.7432789,0.28738546,4715
CD4,MEIS1,Effector CD8 T cell,-1.3578902,0.12096094,4715
CD4,MYB,Effector CD8 T cell,0.109150656,0.06204402,4715
CD4,MYBL2,Effector CD8 T cell,-0.34821174,0.18190883,4715
CD4,NF1,Effector CD8 T cell,0.54903895,0.19095142,4715
CD4,NFATC1,Effector CD8 T cell,-0.5501074,0.34380236,4715
CD4,NFATC2,Effector CD8 T cell,-0.4020592,0.1333565,4715
CD4,NFATC3,Effector CD8 T cell,-0.57227325,0.067026936,4715
CD4,NFATC4,Effector CD8 T cell,-1.6576656,0.30651727,4715
CD4,NHLH2,Effector CD8 T cell,-0.014649785,0.009877692,4715
CD4,POU2F2,Effector CD8 T cell,1.924958,0.1394248,4715
CD4,PTEN,Effector CD8 T cell,0.7763565,0.16502693,4715
CD4,REST,Effector CD8 T cell,-0.3484044,0.22395788,4715
CD4,RXRA,Effector CD8 T cell,-0.86965317,0.5544323,4715
CD4,SIN3A,Effector CD8 T cell,-0.040638696,0.019005531,4715
CD4,SMC3,Effector CD8 T cell,-0.06656155,0.043748572,4715
CD4,SP3,Effector CD8 T cell,0.115013056,0.004624569,4715
CD4,SP9,Effector CD8 T cell,-0.018217515,0.011402146,4715
CD4,TAL1,Effector CD8 T cell,-0.029418094,0.019515863,4715
CD4,TBX2,Effector CD8 T cell,-0.11961086,0.12483382,4715
CD4,TBX4,Effector CD8 T cell,-0.26868486,0.07487385,4715
CD4,TBX5,Effector CD8 T cell,-0.32841817,0.18153732,4715
CD4,TFAP2A,Effector CD8 T cell,-0.5797181,0.12937742,4715
CD4,TFAP2B,Effector CD8 T cell,0.056000765,0.011668114,4715
CD4,USF1,Effector CD8 T cell,0.81311566,0.33972627,4715
CD4,VDR,Effector CD8 T cell,0.46969104,0.15356536,4715
CD4,WT1,Effector CD8 T cell,-0.4680128,0.07826375,4715
CD4,YY1,Effector CD8 T cell,0.32668063,0.02687287,4715
CD4,ZEB1,Effector CD8 T cell,-0.7525949,0.55201447,4715
CD4,ZFX,Effector CD8 T cell,-0.4677361,0.06680253,4715
CD4,ZIC4,Effector CD8 T cell,-0.10333693,0.023842031,4715
CD4,ZNF281,Effector CD8 T cell,-0.5941289,0.29335612,4715
CD4,ZNF341,Effector CD8 T cell,0.04244321,0.047291573,4715
CD4,ATOH8,Gamma delta T cell,-0.09569816,0.045926295,2417
CD4,BATF3,Gamma delta T cell,-0.12427934,0.15836918,2417
