gene,ligand,receptor,pair,cell_type,mean,std,n
CD3E,PDGFB,PDGFRA,PDGFB$PDGFRA,Gamma delta T cell,-6.663305e-06,4.4517888e-06,2417
CD3E,PDGFB,PDGFRB,PDGFB$PDGFRB,Gamma delta T cell,-0.00018568434,4.7006182e-05,2417
CD3E,PDGFC,PDGFRA,PDGFC$PDGFRA,Gamma delta T cell,-0.00015458971,4.0876756e-05,2417
CD3E,PDGFD,PDGFRB,PDGFD$PDGFRB,Gamma delta T cell,-6.631953e-05,3.209558e-05,2417
CD3E,VEGFA,KDR,VEGFA$KDR,Gamma delta T cell,0.0,0.0,2417
CD3E,IGF2,IGF2R,IGF2$IGF2R,Gamma delta T cell,-1.1992657e-06,5.552791e-07,2417
CD3E,IGF2,ITGAV,IGF2$ITGAV,Gamma delta T cell,-1.6554434e-08,1.883945e-08,2417
CD3E,APLN,APLNR,APLN$APLNR,Gamma delta T cell,0.0,0.0,2417
CD3E,CCL8,CCR1,CCL8$CCR1,Gamma delta T cell,0.00010016995,3.6854744e-05,2417
CD3E,CCL13,CCR1,CCL13$CCR1,Gamma delta T cell,1.0570247e-05,5.8949195e-06,2417
CD3E,CCL14,CCR1,CCL14$CCR1,Gamma delta T cell,2.1022787e-07,1.6004641e-07,2417
CD3E,CCL8,CCR2,CCL8$CCR2,Gamma delta T cell,-3.0950997e-07,1.5947666e-07,2417
CD3E,CXCL9,CXCR3,CXCL9$CXCR3,Gamma delta T cell,0.002331731,0.0003282506,2417
CD3E,CXCL10,CXCR3,CXCL10$CXCR3,Gamma delta T cell,0.001244931,0.00020337407,2417
CD3E,CXCL11,CXCR3,CXCL11$CXCR3,Gamma delta T cell,0.00024264336,5.1205934e-05,2417
CD3E,CXCL13,CXCR3,CXCL13$CXCR3,Gamma delta T cell,0.0001950396,4.7518843e-05,2417
CD3E,CXCL12,CXCR4,CXCL12$CXCR4,Gamma delta T cell,-5.053829e-05,1.3141045e-05,2417
CD3E,CXCL11,ACKR3,CXCL11$ACKR3,Gamma delta T cell,-2.1307374e-05,6.369028e-06,2417
CD3E,CXCL12,ACKR3,CXCL12$ACKR3,Gamma delta T cell,2.1502305e-05,1.901347e-05,2417
CD3E,CXCL16,CXCR6,CXCL16$CXCR6,Gamma delta T cell,0.00092162227,0.00015730524,2417
CD3E,IL7,IL2RG,IL7$IL2RG,Gamma delta T cell,0.00056767353,0.00011092364,2417
CD3E,IL15,IL2RB,IL15$IL2RB,Gamma delta T cell,5.688833e-05,5.6191235e-05,2417
CD3E,IL15,IL2RG,IL15$IL2RG,Gamma delta T cell,0.0011429255,0.00018409175,2417
CD3E,IL21,IL2RG,IL21$IL2RG,Gamma delta T cell,-2.3227404e-08,1.3533741e-08,2417
CD3E,IL6,IL6R,IL6$IL6R,Gamma delta T cell,-1.3884231e-05,8.625224e-06,2417
CD3E,IL6,IL6ST,IL6$IL6ST,Gamma delta T cell,-7.9238685e-05,2.9129093e-05,2417
CD3E,IL11,IL6ST,IL11$IL6ST,Gamma delta T cell,-8.700833e-08,5.194171e-08,2417
CD3E,CNTF,IL6ST,CNTF$IL6ST,Gamma delta T cell,4.0241883e-07,3.108815e-07,2417
CD3E,IL1B,IL1R1,IL1B$IL1R1,Gamma delta T cell,-1.7693459e-05,6.206189e-06,2417
CD3E,IL18,IL18R1,IL18$IL18R1,Gamma delta T cell,-2.1332605e-08,6.509345e-09,2417
CD3E,CSF1,CSF1R,CSF1$CSF1R,Gamma delta T cell,-3.5965746e-05,4.583144e-05,2417
CD3E,IL16,CD4,IL16$CD4,Gamma delta T cell,-0.0020546166,0.00030346168,2417
CD3E,IFNG,IFNGR1,IFNG$IFNGR1,Gamma delta T cell,5.521388e-09,1.5625226e-09,2417
CD3E,IFNG,IFNGR2,IFNG$IFNGR2,Gamma delta T cell,-1.8293159e-07,4.9636242e-08,2417
CD3E,LTA,TNFRSF1B,LTA$TNFRSF1B,Gamma delta T cell,-4.195601e-07,2.0530676e-07,2417
CD3E,TNFSF14,LTBR,TNFSF14$LTBR,Gamma delta T cell,-2.4412929e-08,2.8258864e-08,2417
CD3E,TNFSF14,TNFRSF14,TNFSF14$TNFRSF14,Gamma delta T cell,1.7005281e-07,1.206593e-07,2417
CD3E,FASLG,FAS,FASLG$FAS,Gamma delta T cell,-1.590617e-07,6.663789e-08,2417
CD3E,TNFSF10,TNFRSF10A,TNFSF10$TNFRSF10A,Gamma delta T cell,0.00015864773,3.6888505e-05,2417
CD3E,TNFSF12,TNFRSF12A,TNFSF12$TNFRSF12A,Gamma delta T cell,-1.7314244e-06,1.2106227e-06,2417
CD3E,CD70,CD27,CD70$CD27,Gamma delta T cell,1.3057999e-05,1.0095139e-05,2417
CD3E,TNFSF9,TNFRSF9,TNFSF9$TNFRSF9,Gamma delta T cell,1.09119036e-07,7.862255e-08,2417
CD3E,TNFSF13B,TNFRSF13C,TNFSF13B$TNFRSF13C,Gamma delta T cell,-2.2884046e-06,1.2838848e-06,2417
CD3E,CD40LG,ITGB2,CD40LG$ITGB2,Gamma delta T cell,1.34246775e-05,2.7333083e-06,2417
