gene,metabolite,cell_type,mean,std,n
HAVCR2,D-Glucose,other,0.0037012696,0.007608421,103187
HAVCR2,D-Maltose|D-Xylose,other,0.0014853681,0.0030618012,103187
HAVCR2,Estradiol,other,0.00044073813,0.00090520387,103187
HAVCR2,Ethanol,other,0.0001856389,0.00038565104,103187
HAVCR2,Fatty acid,other,0.01354651,0.027746806,103187
HAVCR2,Folic acid,other,-6.6315865e-06,1.4630422e-05,103187
HAVCR2,Glutathione,other,2.0614173e-06,4.37014e-06,103187
HAVCR2,Heme,other,0.00014159663,0.0003036034,103187
HAVCR2,Iron,other,3.7675265e-05,7.9575715e-05,103187
HAVCR2,L-Arginine|L-Histidine|L-Tyrosine,other,3.0931948e-05,6.5818276e-05,103187
HAVCR2,L-Cystine,other,3.6804282e-05,8.5029154e-05,103187
HAVCR2,L-Lactate,other,4.0767198e-05,9.486807e-05,103187
HAVCR2,L-Methionine|L-Phenylalanine,other,1.0601573e-05,2.404776e-05,103187
HAVCR2,Neurotransmitter,other,2.890772e-05,6.032367e-05,103187
HAVCR2,Nicotinate,other,0.00055806286,0.0011454707,103187
HAVCR2,Sodium,other,0.0005925538,0.0012201361,103187
HAVCR2,Taurocholic acid,other,0.00097427826,0.0019961437,103187
HAVCR2,Vitamin D3,other,0.001522758,0.0031366972,103187
HAVCR2,Zinc,other,5.9884735e-07,1.3315405e-06,103187
HAVCR2,alpha-Tocopherol,other,6.4288683e-06,1.4925442e-05,103187
HIF1A,2-Hydroxychlorpropamide,Effector CD8 T cell,0.0,0.0,4715
HIF1A,25-Hydroxycholesterol,Effector CD8 T cell,3.0023788e-08,1.0337291e-06,4715
HIF1A,ADP,Effector CD8 T cell,0.0,0.0,4715
HIF1A,Acetate,Effector CD8 T cell,-1.9406508e-08,6.673454e-07,4715
HIF1A,Adenine,Effector CD8 T cell,7.0432726e-12,2.4225277e-10,4715
HIF1A,Adenosine|Cytidine|Guanosine|Inosine|Thymidine|Uridine,Effector CD8 T cell,5.647921e-09,1.9416805e-07,4715
HIF1A,Adenosine diphosphate ribose,Effector CD8 T cell,-3.1647511e-09,1.0912162e-07,4715
HIF1A,Adenosine triphosphate,Effector CD8 T cell,7.121348e-09,2.4922204e-07,4715
HIF1A,Cadmium|Manganese,Effector CD8 T cell,1.3222683e-08,4.5760223e-07,4715
HIF1A,Chloride,Effector CD8 T cell,1.8791364e-09,6.4614596e-08,4715
HIF1A,Cholesterol,Effector CD8 T cell,-1.4189748e-08,4.8921925e-07,4715
HIF1A,Citric acid|Oxalic acid,Effector CD8 T cell,3.8862074e-09,1.3441976e-07,4715
HIF1A,D-Galactose|D-Mannose|Dehydroascorbic acid|Docosahexaenoic acid,Effector CD8 T cell,-8.519969e-08,2.9557223e-06,4715
HIF1A,D-Glucose,Effector CD8 T cell,-1.312499e-07,4.5148226e-06,4715
HIF1A,D-Maltose|D-Xylose,Effector CD8 T cell,-5.3896496e-08,1.8510399e-06,4715
HIF1A,Estradiol,Effector CD8 T cell,2.6259992e-09,9.106246e-08,4715
HIF1A,Ethanol,Effector CD8 T cell,7.113619e-09,2.4615986e-07,4715
HIF1A,Fatty acid,Effector CD8 T cell,1.2732798e-08,4.3827654e-07,4715
HIF1A,Folic acid,Effector CD8 T cell,2.0317297e-09,7.054948e-08,4715
